VC,HQ,Geographies,Focus areas,Stage,Ticket size,Website,Portfolio examples in the Baltics
Icebreaker VC,"Tallinn,Helsinki,Stockholm","Baltics,Nordics",Agnostic,"Pre-Seed,Seed",150k-800k€,https://www.icebreaker.vc,
Metaplanet Holdings,"Tallinn,US",Europe,"Agnostic,Deeptech","Pre-Seed,Seed,Series A",,https://metaplanet.com,
Verge HealthTech Fund,"Tallinn,Singapore",Global,Healthtech,"Pre-Seed,Seed",$250k-750k,https://www.vergehc.com/,"LungPass, Reach52, RetiSpec, MXLabs, Mobio Interactive, Saludtools, VitruvianMD, Kipuwex"
Superhero Capital,"Baltics,Finland","Baltics,Finland",Agnostic,"Pre-Seed,Seed",50k-1M€,https://superherocapital.com,
Practica VC,Vilnius,Baltics,Agnostic,"Seed,Series A,Growth",200k-2M€,https://practica.vc,
Contrarian Ventures,Vilnius,"Europe,Israel",Climate,"Seed,Series A",500k€ +,https://www.cventures.vc/,
70Ventures,Vilnius,,,"Pre-Seed,Seed,Series A",20k-300k€,https://www.70v.com,
Open Circle Capital,Vilnius,,"ICT,Robotics,High-Tech,Deeptech",Seed,100-300k€,https://www.opencirclecapital.lt,Whatagraph
cats.vc,Vilnius,Europe,"B2B SaaS,Fintech,Foodtech,Work,Gaming,Medtech",Seed,500k€,https://cats.vc,E-Agronom
Katalista Ventures,Vilnius,Baltics,,,,https://www.katalistaventures.com/,
Coinvest Capital,Vilnius,Lithuania,,Pre-Seed,,https://www.coinvest.lt/en/homepage,
Baltic Sandbox,Vilnius,Europe,"B2B,D2C,Tech4Good,Sustainability,Impact,Silver/Seniortec,Consumer","Pre-Seed,Seed,Series A",20k-500k€,http://www.balticsandbox.com,"Zenoo, Openface, Searadar"
Iron Wolf Capital,"Vilnius,London",Baltics,"AI,IoT,Deeptech,Fintech,Marketplaces,Saas",Seed,250k-2M€,https://www.ironwolfcapital.com,
Launchpad Capital,"Vilnius,San Francisco","Baltics,San Francisco",,"Pre-Seed,Seed",,https://www.launchpad.vc/,
BADideas.fund,Riga,"Baltics,CEE","B2B,Marketplace,Saas,AI,Software,Fintech,Agnostic","Pre-Seed,Seed",50k-150k€,https://badideas.fund/,"Breezit, Recruitlab, FUEL finance"
Atomico,London,"Baltics,Nordics,Europe","Digital work,Enterprise data & automation,Internet infrastructure,Mobility,Industrial automation,Frontier tech,Climate,Engaged consumer,Food,Digital life,Health,Empowered individuals,Fintech",Series A,5M-10M€,https://atomico.com,"Pactum, Katana"
Seedcamp,London,"Europe,CEE",Agnostic,"Pre-Seed,Seed",+/ - £300k,https://seedcamp.com,"Salv, Wise"
Sturgeon Capital,London,"Baltics,Central Asia,Caucasus",SaaS,"Seed,Series A",,https://www.sturgeoncapital.com/,
Notion Capital,London,Europe,"B2B,Saas,Crypto,Health,Fintech","Pre-Seed,Seed,Series A,Series B,Series C",<£10M,https://notion.vc/,"Dixa, Interactio, Adfenix"
Project A,London,Global,Digital,"Pre-Seed,Seed,Growth,Series A",1-30M€,https://www.project-a.com,Pactum
Passion Capital,London,,,Seed,,https://www.passioncapital.com,Remato
Mosaic Ventures,London,Europe,"AI,ML,Fintech,Health,Edtech,Work,Marketplace","Seed,Series A",$1-10M,https://www.mosaicventures.com,Veriff
Angluar Ventures,London,Europe,Agnostic,"Pre-Seed,Seed,Series A",$200k-3M,https://angularventures.com,
Balderton,London,Europe,Agnostic,"Seed,Series A,Series B,Series C",3M-50M€,balderton.com,"Revolut, Aircall, Zego"
Eight Roads Ventures,London,"Europe,Israel,India,China,Japan,US",Agnostic,"Series A,Series B,Series C",$5M-30M,https://eightroads.com/en/,Interactio
Accel,London,Global,Agnostic,"Seed,Series A,Series B",,https://www.accel.com,"Vinted, Veriff"
Dawn Capital,London,"Europe,Baltics","Data,Analytics,Infrastructe,Fintech,Work,Security,Privacy","Series A,Series B",10-20M€,https://dawncapital.com,Lokalise
LocalGlobe,London,,,"Seed,Series A",,https://localglobe.vc,KOOS
TrueSight,"London,Stockholm",Europe,Agnostic,"Pre-Seed,Seed",,https://www.truesight.vc,Rendin
Northzone,"London,Stockholm,New York","Europe,US",Agnostic,"Seed,Series A,Series B",< $25M,https://northzone.com,
Concentric,"London,Copenhagen","Europe,Africa","Financial Services,Real Estate,Industrial,Mobility,B2B Marketplace","Seed,Series A,pre-Series A",€500K-5M,https://concentric.vc/,Insly
Giant Ventures,"London,Copenhagen,LA",Global,Industrial,"Seed,Series B+",$500k-2.5M,https://www.giant.vc/,"Agreena, Calm, Mighty Buildings, Radicle"
Index,"London,Geneva,San Francisco",Global,Agnostic,"Seed,Series A,Growth",,https://www.indexventures.com,"Wise, Skype"
Eurazeo,"London,Paris",Europe,Agnostic,"Pre-Seed,Seed,Growth",,https://www.eurazeo.com/en,
Acecap,"London,US",Global,"B2B,Agnostic,Deeptech","Pre-Seed,Seed",$100k-1M,https://www.acecap.com,
Picus Capital,"London,Munich,Berlin,New York,Beijing",Global,"Real Estate,Fintech,Insurtech,Mobility,HRtech,Renewable Energy,E-Commerce,Health","Pre-Seed,Seed,Series A",500k€-1M€,https://www.picuscap.com,
Hummingbird VC,"London,Antwerp",Europe,Agnostic,"Seed,Pre-Seed,Series A",1M-10M€,https://www.hummingbird.vc,MeetFrank
Voima Ventures,Helsinki,"Baltics,Nordics",Deeptech,"Pre-Seed,Seed,Series A,Series B",,https://voimaventures.com,
Maki VC,Helsinki,"Nordics,Global,Baltics","Deeptech,Agnostic","Pre-Seed,Seed,Series A",200k-2M€,https://maki.vc,
Gorilla Ventures,Helsinki,"Estonia,Denmark,Sweden,Finland",Agnostic,"Pre-Seed,Seed",,https://gorillacapital.fi,
Nordic FoodTech VC,Helsinki,"Nordics,Baltics","Foodtech,Agtec,Food-related healthtech","Seed,Series A",200k-1M€,www.nft.vc,"eniferBio, Melt&Marble, Chromologics, Kuva Space"
Nordic Ninja,"Helsinki,Tallinn,Stockholm","Nordics,Baltics",Deeptech,"Series A,Series B",1M-6M€,https://nordicninja.vc/fund/,
Inventure,"Helsinki,Stockholm","Baltics,Nordics","Agnostic,Deeptech","Seed,Series A",,https://inventure.vc,
Bonnier Ventures,Stockholm,"Baltics,Nordics,Europe","B2B SaaS,SaaS,Software,B2B Marketplace","pre-Series A,Series A",>1M€,https://bonnierventures.com/,FoodDocs
Creandum,"Stockholm,London,Berlin,San Francisco","Baltics,Nordics,Europe","Agnostic,Enterprise,Consumer","Seed,Series A,Growth",200k€-8M€,https://www.creandum.com,
EQT,"Stockholm,Berlin,London,Paris,San Francisco",Europe,Agnostic,"Seed,Series A,Growth",1M-75M€,https://eqtventures.com,Single.earth
Earlybird Digital East Fund,Berlin,"Baltics,CEE,Turkey",ICT,"Seed,Series A",,https://earlybird.com,"UiPath, Payhawk, FintechOS, Binalyze"
BlueYard Capital,Berlin,"Europe,US","Crypto,Web3",Seed,1-3M€,https://www.blueyard.com/,
Paua Ventures,Berlin,Europe,B2B,"Pre-Seed,Seed",,https://www.pauaventures.com/,
Global Founders Capital,Berlin,Global,Agnostic,"Pre-Seed,Seed,Series A,Series B,Growth",200k-8M€,https://www.globalfounderscapital.com/,Klaus
